"ANO";"NIVEL";"CODIGO";"TVV";"TVRC";"TVVF";"TVVM";"TVCF";"TVCM";"TVMF";"TVMM";"TVC_22_34";"TVC_35_45";"IMVCF";"DPVCF";"IVCF_P25";"IVCF_P50";"IVCF_P75";"IMVMM";"DPVMM";"IVMM_P25";"IVMM_P50";"IVMM_P75";"TPIC";"TAIC";"TGIC"
2025;"UF";33;50;0;27;23;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
2025;"MUNICIPIO";330010;3;0;1;2;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
2025;"MUNICIPIO";330070;3;0;2;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
2025;"MUNICIPIO";330100;5;0;2;3;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
2025;"MUNICIPIO";330170;4;0;2;2;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
2025;"MUNICIPIO";330270;3;0;2;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
2025;"MUNICIPIO";330330;5;0;3;2;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
2025;"MUNICIPIO";330350;6;0;3;3;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
2025;"MUNICIPIO";330390;5;0;3;2;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
2025;"MUNICIPIO";330455;7;0;4;3;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
2025;"MUNICIPIO";330490;5;0;3;2;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
2025;"MUNICIPIO";330620;4;0;2;2;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
